Date,Name,Retail Price
1/2/2024,GeForce RTX 3080 Ti,1392
1/3/2023,GeForce RTX 3080 Ti,1169
1/3/2024,GeForce RTX 3080 Ti,1474
1/4/2023,GeForce RTX 3080 Ti,1235
1/4/2024,GeForce RTX 3080 Ti,1323
1/5/2023,GeForce RTX 3080 Ti,983
1/5/2024,GeForce RTX 3080 Ti,1197
1/6/2023,GeForce RTX 3080 Ti,1038
1/6/2024,GeForce RTX 3080 Ti,1196
1/7/2023,GeForce RTX 3080 Ti,989
1/7/2024,GeForce RTX 3080 Ti,1148
1/8/2023,GeForce RTX 3080 Ti,894
1/8/2024,GeForce RTX 3080 Ti,1137
1/9/2023,GeForce RTX 3080 Ti,930
1/9/2024,GeForce RTX 3080 Ti,1090
1/10/2023,GeForce RTX 3080 Ti,850
1/10/2024,GeForce RTX 3080 Ti,1131
1/11/2022,GeForce RTX 3080 Ti,1149
1/11/2023,GeForce RTX 3080 Ti,880
1/11/2024,GeForce RTX 3080 Ti,1023
1/12/2022,GeForce RTX 3080 Ti,1159
1/12/2023,GeForce RTX 3080 Ti,894
1/12/2024,GeForce RTX 3080 Ti,1093
1/1/2023,GeForce RTX 3090,1430
1/1/2024,GeForce RTX 3090,1812
1/2/2023,GeForce RTX 3090,1223
1/2/2024,GeForce RTX 3090,1982
1/3/2023,GeForce RTX 3090,1345
1/3/2024,GeForce RTX 3090,2100
1/4/2023,GeForce RTX 3090,1056
1/4/2024,GeForce RTX 3090,1829
1/5/2023,GeForce RTX 3090,928
1/5/2024,GeForce RTX 3090,1669
1/6/2023,GeForce RTX 3090,1025
1/6/2024,GeForce RTX 3090,1855
1/7/2023,GeForce RTX 3090,1077
1/7/2024,GeForce RTX 3090,1840
1/8/2023,GeForce RTX 3090,954
1/8/2024,GeForce RTX 3090,1978
1/9/2023,GeForce RTX 3090,1323
1/9/2024,GeForce RTX 3090,1848
1/10/2023,GeForce RTX 3090,1511
1/10/2024,GeForce RTX 3090,2026
1/11/2022,GeForce RTX 3090,1489
1/11/2023,GeForce RTX 3090,1862
1/11/2024,GeForce RTX 3090,0
1/12/2022,GeForce RTX 3090,1490
1/12/2023,GeForce RTX 3090,1854
1/12/2024,GeForce RTX 3090,2070
1/1/2024,GeForce RTX 4060,294
1/2/2024,GeForce RTX 4060,294
1/3/2024,GeForce RTX 4060,293
1/4/2024,GeForce RTX 4060,295
1/5/2024,GeForce RTX 4060,295
1/6/2023,GeForce RTX 4060,299
1/6/2024,GeForce RTX 4060,293
1/7/2023,GeForce RTX 4060,297
1/7/2024,GeForce RTX 4060,293
1/8/2023,GeForce RTX 4060,291
1/8/2024,GeForce RTX 4060,285
1/9/2023,GeForce RTX 4060,298
1/9/2024,GeForce RTX 4060,292
1/10/2023,GeForce RTX 4060,293
1/10/2024,GeForce RTX 4060,295
1/11/2023,GeForce RTX 4060,291
1/11/2024,GeForce RTX 4060,291
1/12/2023,GeForce RTX 4060,298
1/12/2024,GeForce RTX 4060,295
1/1/2024,GeForce RTX 4060 Ti,385
1/2/2024,GeForce RTX 4060 Ti,376
1/3/2024,GeForce RTX 4060 Ti,382
1/4/2024,GeForce RTX 4060 Ti,381
1/5/2024,GeForce RTX 4060 Ti,384
1/6/2023,GeForce RTX 4060 Ti,385
1/6/2024,GeForce RTX 4060 Ti,373
1/7/2023,GeForce RTX 4060 Ti,383
1/7/2024,GeForce RTX 4060 Ti,369
1/8/2023,GeForce RTX 4060 Ti,376
1/8/2024,GeForce RTX 4060 Ti,377
1/9/2023,GeForce RTX 4060 Ti,382
1/9/2024,GeForce RTX 4060 Ti,380
1/10/2023,GeForce RTX 4060 Ti,371
1/10/2024,GeForce RTX 4060 Ti,389
1/11/2023,GeForce RTX 4060 Ti,370
1/11/2024,GeForce RTX 4060 Ti,391
1/12/2023,GeForce RTX 4060 Ti,381
1/12/2024,GeForce RTX 4060 Ti,396
1/1/2024,GeForce RTX 4070,549
1/2/2024,GeForce RTX 4070,532
1/3/2024,GeForce RTX 4070,532
1/4/2023,GeForce RTX 4070,628
1/4/2024,GeForce RTX 4070,541
1/5/2023,GeForce RTX 4070,599
1/5/2024,GeForce RTX 4070,553
1/6/2023,GeForce RTX 4070,599
1/6/2024,GeForce RTX 4070,549
1/7/2023,GeForce RTX 4070,596
1/7/2024,GeForce RTX 4070,548
1/8/2023,GeForce RTX 4070,596
1/8/2024,GeForce RTX 4070,540
1/9/2023,GeForce RTX 4070,572
1/9/2024,GeForce RTX 4070,542
1/10/2023,GeForce RTX 4070,550
